,Braddock_16.fastq,Braddock_17.fastq,Braddock_18.fastq,Braddock_19.fastq,Braddock_20.fastq,NevilleIsland_1.fastq,NevilleIsland_3.fastq,NevilleIsland_4.fastq,NevilleIsland_5.fastq,PointAll_23.fastq,PointAll_25.fastq,PointMon_6.fastq,PointMon_7.fastq,PointMon_8.fastq,Sharpsburg_11.fastq,Sharpsburg_12.fastq,Sharpsburg_13.fastq,Sharpsburg_14.fastq,unclassified_0.fastq,
Braddock_16.fastq,0,0.09499999999999997,0.10599999999999998,0.11099999999999999,0.09799999999999998,0.696,0.53,0.269,0.09499999999999997,0.15000000000000002,0.14300000000000002,0.22999999999999998,0.15000000000000002,0.14300000000000002,0.16200000000000003,0.281,0.237,0.28400000000000003,0.125,
Braddock_17.fastq,0.09499999999999997,0,0.09299999999999997,0.129,0.08399999999999996,0.681,0.509,0.249,0.09999999999999998,0.134,0.12,0.22499999999999998,0.14200000000000002,0.121,0.132,0.28700000000000003,0.247,0.28800000000000003,0.14200000000000002,
Braddock_18.fastq,0.10599999999999998,0.09299999999999997,0,0.125,0.06399999999999995,0.736,0.575,0.30600000000000005,0.09599999999999997,0.17100000000000004,0.16700000000000004,0.272,0.11399999999999999,0.123,0.16400000000000003,0.273,0.22699999999999998,0.253,0.16800000000000004,
Braddock_19.fastq,0.11099999999999999,0.129,0.125,0,0.12,0.7170000000000001,0.581,0.32499999999999996,0.08499999999999996,0.10999999999999999,0.122,0.281,0.17600000000000005,0.16500000000000004,0.20799999999999996,0.20999999999999996,0.19199999999999995,0.20099999999999996,0.14100000000000001,
Braddock_20.fastq,0.09799999999999998,0.08399999999999996,0.06399999999999995,0.12,0,0.728,0.5569999999999999,0.29700000000000004,0.09499999999999997,0.17400000000000004,0.16600000000000004,0.271,0.131,0.125,0.17100000000000004,0.27,0.22899999999999998,0.259,0.15100000000000002,
NevilleIsland_1.fastq,0.696,0.681,0.736,0.7170000000000001,0.728,0,0.20299999999999996,0.479,0.72,0.665,0.6759999999999999,0.517,0.774,0.726,0.661,0.882,0.862,0.892,0.706,
NevilleIsland_3.fastq,0.53,0.509,0.575,0.581,0.5569999999999999,0.20299999999999996,0,0.29500000000000004,0.5609999999999999,0.548,0.55,0.346,0.597,0.552,0.485,0.734,0.6990000000000001,0.753,0.5349999999999999,
NevilleIsland_4.fastq,0.269,0.249,0.30600000000000005,0.32499999999999996,0.29700000000000004,0.479,0.29500000000000004,0,0.30500000000000005,0.29500000000000004,0.29500000000000004,0.11499999999999999,0.33899999999999997,0.30600000000000005,0.254,0.479,0.44099999999999995,0.494,0.269,
NevilleIsland_5.fastq,0.09499999999999997,0.09999999999999998,0.09599999999999997,0.08499999999999996,0.09499999999999997,0.72,0.5609999999999999,0.30500000000000005,0,0.09999999999999998,0.09499999999999997,0.272,0.11699999999999999,0.10399999999999998,0.18500000000000005,0.22099999999999997,0.18700000000000006,0.21099999999999997,0.138,
PointAll_23.fastq,0.15000000000000002,0.134,0.17100000000000004,0.10999999999999999,0.17400000000000004,0.665,0.548,0.29500000000000004,0.09999999999999998,0,0.050000000000000044,0.261,0.18600000000000005,0.16300000000000003,0.17000000000000004,0.237,0.21599999999999997,0.242,0.16700000000000004,
PointAll_25.fastq,0.14300000000000002,0.12,0.16700000000000004,0.122,0.16600000000000004,0.6759999999999999,0.55,0.29500000000000004,0.09499999999999997,0.050000000000000044,0,0.259,0.15900000000000003,0.14600000000000002,0.17700000000000005,0.22699999999999998,0.20399999999999996,0.23199999999999998,0.16400000000000003,
PointMon_6.fastq,0.22999999999999998,0.22499999999999998,0.272,0.281,0.271,0.517,0.346,0.11499999999999999,0.272,0.261,0.259,0,0.28800000000000003,0.252,0.21899999999999997,0.43300000000000005,0.41700000000000004,0.44599999999999995,0.271,
PointMon_7.fastq,0.15000000000000002,0.14200000000000002,0.11399999999999999,0.17600000000000005,0.131,0.774,0.597,0.33899999999999997,0.11699999999999999,0.18600000000000005,0.15900000000000003,0.28800000000000003,0,0.08099999999999996,0.20499999999999996,0.24,0.19899999999999995,0.22199999999999998,0.21599999999999997,
PointMon_8.fastq,0.14300000000000002,0.121,0.123,0.16500000000000004,0.125,0.726,0.552,0.30600000000000005,0.10399999999999998,0.16300000000000003,0.14600000000000002,0.252,0.08099999999999996,0,0.16600000000000004,0.277,0.239,0.262,0.18799999999999994,
Sharpsburg_11.fastq,0.16200000000000003,0.132,0.16400000000000003,0.20799999999999996,0.17100000000000004,0.661,0.485,0.254,0.18500000000000005,0.17000000000000004,0.17700000000000005,0.21899999999999997,0.20499999999999996,0.16600000000000004,0,0.354,0.30500000000000005,0.371,0.20599999999999996,
Sharpsburg_12.fastq,0.281,0.28700000000000003,0.273,0.20999999999999996,0.27,0.882,0.734,0.479,0.22099999999999997,0.237,0.22699999999999998,0.43300000000000005,0.24,0.277,0.354,0,0.07999999999999996,0.09999999999999998,0.28700000000000003,
Sharpsburg_13.fastq,0.237,0.247,0.22699999999999998,0.19199999999999995,0.22899999999999998,0.862,0.6990000000000001,0.44099999999999995,0.18700000000000006,0.21599999999999997,0.20399999999999996,0.41700000000000004,0.19899999999999995,0.239,0.30500000000000005,0.07999999999999996,0,0.09699999999999998,0.258,
Sharpsburg_14.fastq,0.28400000000000003,0.28800000000000003,0.253,0.20099999999999996,0.259,0.892,0.753,0.494,0.21099999999999997,0.242,0.23199999999999998,0.44599999999999995,0.22199999999999998,0.262,0.371,0.09999999999999998,0.09699999999999998,0,0.30300000000000005,
unclassified_0.fastq,0.125,0.14200000000000002,0.16800000000000004,0.14100000000000001,0.15100000000000002,0.706,0.5349999999999999,0.269,0.138,0.16700000000000004,0.16400000000000003,0.271,0.21599999999999997,0.18799999999999994,0.20599999999999996,0.28700000000000003,0.258,0.30300000000000005,0,
