,Braddock_16.fastq,Braddock_17.fastq,Braddock_18.fastq,Braddock_19.fastq,Braddock_20.fastq,NevilleIsland_1.fastq,NevilleIsland_3.fastq,NevilleIsland_4.fastq,NevilleIsland_5.fastq,PointAll_23.fastq,PointAll_25.fastq,PointMon_6.fastq,PointMon_7.fastq,PointMon_8.fastq,Sharpsburg_11.fastq,Sharpsburg_12.fastq,Sharpsburg_13.fastq,Sharpsburg_14.fastq,unclassified_0.fastq,
Braddock_16.fastq,0,0.1735159817351598,0.1916817359855335,0.19981998199819984,0.17850637522768675,0.8207547169811321,0.6928104575163399,0.42395587076438135,0.1735159817351598,0.26086956521739135,0.2502187226596675,0.3739837398373984,0.26086956521739135,0.2502187226596675,0.27882960413080893,0.4387197501951601,0.38318512530315274,0.44236760124610597,0.2222222222222222,
Braddock_17.fastq,0.1735159817351598,0,0.17017383348581883,0.2285208148804252,0.15498154981549817,0.810232004759072,0.6746189529489728,0.3987189751801441,0.18181818181818177,0.23633156966490299,0.2142857142857143,0.36734693877551017,0.24868651488616467,0.215878679750223,0.2332155477031802,0.44599844599844596,0.39615076182838815,0.44720496894409933,0.24868651488616467,
Braddock_18.fastq,0.1916817359855335,0.17017383348581883,0,0.2222222222222222,0.12030075187969924,0.847926267281106,0.7301587301587302,0.4686064318529862,0.17518248175182483,0.2920580700256191,0.286203941730934,0.4276729559748428,0.20466786355475763,0.21905609973285844,0.281786941580756,0.4289080911233307,0.37000814995925024,0.40383080606544297,0.28767123287671237,
Braddock_19.fastq,0.19981998199819984,0.2285208148804252,0.2222222222222222,0,0.2142857142857143,0.8351776354105999,0.734977862112587,0.49056603773584906,0.15668202764976957,0.19819819819819817,0.21746880570409988,0.4387197501951601,0.29931972789115646,0.28326180257510725,0.3443708609271523,0.3471074380165289,0.3221476510067114,0.3347210657785179,0.24715162138475022,
Braddock_20.fastq,0.17850637522768675,0.15498154981549817,0.12030075187969924,0.2142857142857143,0,0.8425925925925926,0.7154784842646114,0.4579799537393986,0.1735159817351598,0.29642248722316866,0.28473413379073753,0.4264358772619984,0.23165340406719714,0.2222222222222222,0.2920580700256191,0.4251968503937008,0.3726606997558991,0.4114376489277204,0.26238053866203304,
NevilleIsland_1.fastq,0.8207547169811321,0.810232004759072,0.847926267281106,0.8351776354105999,0.8425925925925926,0,0.3374896093100582,0.6477349560513861,0.8372093023255813,0.7987987987987988,0.8066825775656324,0.6816084377059987,0.8726042841037204,0.8412514484356894,0.7959060806742926,0.9373007438894793,0.9258861439312567,0.9429175475687104,0.8276670574443141,
NevilleIsland_3.fastq,0.6928104575163399,0.6746189529489728,0.7301587301587302,0.734977862112587,0.7154784842646114,0.3374896093100582,0,0.4555984555984556,0.7187700192184496,0.7080103359173127,0.7096774193548387,0.5141158989598811,0.7476518472135254,0.711340206185567,0.6531986531986532,0.8465974625144175,0.8228369629193644,0.8590986879634912,0.6970684039087948,
NevilleIsland_4.fastq,0.42395587076438135,0.3987189751801441,0.4686064318529862,0.49056603773584906,0.4579799537393986,0.6477349560513861,0.4555984555984556,0,0.46743295019157083,0.4555984555984556,0.4555984555984556,0.20627802690582964,0.5063480209111277,0.4686064318529862,0.40510366826156297,0.6477349560513861,0.6120749479528105,0.6613119143239625,0.42395587076438135,
NevilleIsland_5.fastq,0.1735159817351598,0.18181818181818177,0.17518248175182483,0.15668202764976957,0.1735159817351598,0.8372093023255813,0.7187700192184496,0.46743295019157083,0,0.18181818181818177,0.1735159817351598,0.4276729559748428,0.2094897045658013,0.18840579710144922,0.3122362869198312,0.361998361998362,0.3150800336983993,0.34847233691164325,0.24253075571177507,
PointAll_23.fastq,0.26086956521739135,0.23633156966490299,0.2920580700256191,0.19819819819819817,0.29642248722316866,0.7987987987987988,0.7080103359173127,0.4555984555984556,0.18181818181818177,0,0.09523809523809523,0.41395717684377475,0.31365935919055654,0.28030954428202925,0.29059829059829057,0.38318512530315274,0.35526315789473684,0.38969404186795487,0.286203941730934,
PointAll_25.fastq,0.2502187226596675,0.2142857142857143,0.286203941730934,0.21746880570409988,0.28473413379073753,0.8066825775656324,0.7096774193548387,0.4555984555984556,0.1735159817351598,0.09523809523809523,0,0.4114376489277204,0.274374460742019,0.2547993019197208,0.3007646559048428,0.37000814995925024,0.3388704318936877,0.37662337662337664,0.281786941580756,
PointMon_6.fastq,0.3739837398373984,0.36734693877551017,0.4276729559748428,0.4387197501951601,0.4264358772619984,0.6816084377059987,0.5141158989598811,0.20627802690582964,0.4276729559748428,0.41395717684377475,0.4114376489277204,0,0.44720496894409933,0.402555910543131,0.3593109105824446,0.6043265875785067,0.5885673959068454,0.6168741355463347,0.4264358772619984,
PointMon_7.fastq,0.26086956521739135,0.24868651488616467,0.20466786355475763,0.29931972789115646,0.23165340406719714,0.8726042841037204,0.7476518472135254,0.5063480209111277,0.2094897045658013,0.31365935919055654,0.274374460742019,0.44720496894409933,0,0.1498612395929695,0.34024896265560167,0.3870967741935484,0.3319432860717264,0.3633387888707038,0.35526315789473684,
PointMon_8.fastq,0.2502187226596675,0.215878679750223,0.21905609973285844,0.28326180257510725,0.2222222222222222,0.8412514484356894,0.711340206185567,0.4686064318529862,0.18840579710144922,0.28030954428202925,0.2547993019197208,0.402555910543131,0.1498612395929695,0,0.28473413379073753,0.43382928739232574,0.3857949959644875,0.41521394611727414,0.3164983164983165,
Sharpsburg_11.fastq,0.27882960413080893,0.2332155477031802,0.281786941580756,0.3443708609271523,0.2920580700256191,0.7959060806742926,0.6531986531986532,0.40510366826156297,0.3122362869198312,0.29059829059829057,0.3007646559048428,0.3593109105824446,0.34024896265560167,0.28473413379073753,0,0.5228951255539143,0.46743295019157083,0.5412107950401167,0.3416252072968491,
Sharpsburg_12.fastq,0.4387197501951601,0.44599844599844596,0.4289080911233307,0.3471074380165289,0.4251968503937008,0.9373007438894793,0.8465974625144175,0.6477349560513861,0.361998361998362,0.38318512530315274,0.37000814995925024,0.6043265875785067,0.3870967741935484,0.43382928739232574,0.5228951255539143,0,0.14814814814814814,0.18181818181818177,0.44599844599844596,
Sharpsburg_13.fastq,0.38318512530315274,0.39615076182838815,0.37000814995925024,0.3221476510067114,0.3726606997558991,0.9258861439312567,0.8228369629193644,0.6120749479528105,0.3150800336983993,0.35526315789473684,0.3388704318936877,0.5885673959068454,0.3319432860717264,0.3857949959644875,0.46743295019157083,0.14814814814814814,0,0.17684594348222427,0.41017488076311603,
Sharpsburg_14.fastq,0.44236760124610597,0.44720496894409933,0.40383080606544297,0.3347210657785179,0.4114376489277204,0.9429175475687104,0.8590986879634912,0.6613119143239625,0.34847233691164325,0.38969404186795487,0.37662337662337664,0.6168741355463347,0.3633387888707038,0.41521394611727414,0.5412107950401167,0.18181818181818177,0.17684594348222427,0,0.4650805832693784,
unclassified_0.fastq,0.2222222222222222,0.24868651488616467,0.28767123287671237,0.24715162138475022,0.26238053866203304,0.8276670574443141,0.6970684039087948,0.42395587076438135,0.24253075571177507,0.286203941730934,0.281786941580756,0.4264358772619984,0.35526315789473684,0.3164983164983165,0.3416252072968491,0.44599844599844596,0.41017488076311603,0.4650805832693784,0,
