Sample,Richness
NevilleIsland_4.fastq,102
PointAll_21.fastq,25
PointMon_7.fastq,122
Sharpsburg_12.fastq,36
Control_26.fastq,1
NevilleIsland_5.fastq,66
Control_28.fastq,5
Control_30.fastq,1
PointAll_25.fastq,34
unclassified_0.fastq,58
NevilleIsland_2.fastq,20
Braddock_16.fastq,120
PointMon_10.fastq,26
Control_29.fastq,8
Control_27.fastq,1
NevilleIsland_3.fastq,46
PointAll_24.fastq,24
Sharpsburg_13.fastq,42
NevilleIsland_1.fastq,12
Sharpsburg_14.fastq,63
Braddock_17.fastq,115
Braddock_20.fastq,109
Sharpsburg_11.fastq,42
PointAll_22.fastq,21
PointMon_9.fastq,8
Braddock_19.fastq,95
PointAll_23.fastq,32
PointMon_6.fastq,132
PointMon_8.fastq,128
Braddock_18.fastq,94
